RID,Act ID,"Establishment Name
Site City-State-Zip",County,Primary/Site NAICS,Receipt Date,Receipt Type,Formality,Insp ID,Addl' Code,Hazard Desc and Location,No Alleged Hazards/No Emp Exposed,weight,Industry_code
01-115-00,C-1659207,"Macys Logistics and Operations
475 Knotter Drive, CHESHIRE, CONNECTICUT, 06410",NEW HAVEN,"541614 /
541614",2020-09-14,Online,Formal,,N-16-COVID-19: ,Employees lowering Covid-19 masks to talk to other employees within 6 feet.,"/
",1,54
01-115-00,C-1661094,"Ion Bank
910 Walcott Street, WATERBURY, CONNECTICUT, 06705",NEW HAVEN,"522110 /
522110",2020-09-17,Phone,Nonformal,,N-16-COVID-19: ,"One worker at the bank tested positive for coronavirus disease 2019 (COVID-19). All workers exposed to this person were instructed to receive a negative COVID-19 test before returning to work. One employee refused to take the COVID-19 test and was allowed to return to work without testing negative or quarantining per Centers for Disease Control and Prevention guidelines, exposing employees to a possible hazard.","1/
4",1,52
01-115-00,C-1662364,"Orthopaedic Specialty Group, P.C. DBA Orthopaedic Specialty Group (OSG)
305 Black Rock Turnpike, FAIRFIELD, CONNECTICUT, 06825",FAIRFIELD,"621111 /
621111",2020-09-21,Online,Nonformal,,N-16-COVID-19: ,"1) The employer is not following the Center for Disease Control (CDC) recommended employer?s guidelines for in relation to the current Coronavirus (Covid-19) virus outbreak. 
 
2) The employer is not providing personal protective equipment (PPE) in accordance with CDC recommendations. 
","2/
10",1,62
01-120-00,C-1625423,"NATCHAUG HOSPITAL, INC.
189 STORRS ROAD, MANSFIELD CENTER, CONNECTICUT, 06250",WINDHAM,"622210 /
622210",2020-07-16,Phone,Nonformal,,N-16-COVID-19: ,"Employees are exposed to COVID-19 virus in that, patients are not required to quarantine after coming from hot spot locations. N95 masks are not provided to staff that interact with the patient.","2/
517",1,62
01-120-00,C-1654273,"Kohl's. Inc.
1050 N. Main Street, DAYVILLE, CONNECTICUT, 06241",WINDHAM,"452111 /
452111",2020-09-02,Phone,Nonformal,,N-16-COVID-19: ,"1.  Employees are required to assist customers at the ""self-service kiosks"" which requires being less than 6 feet apart.  The store does not enforce the State of CT mandate that all people entering stores wear masks and therefore customers often are not wearing masks.

2.  An employee was allowed to work while experiencing symptoms of COVID-19.  The employee subsequently tested positive for COVID.

Many employees of the store are considered ""high-risk"".

In your response, please provide company policies regarding enforcement of State of Connecticut mandates regarding COVID-19.","2/
50",1,45
01-115-00,C-1550774,"T.F. Electric Inc
320 York Street, Hall of Graduate Studies, NEW HAVEN, CONNECTICUT, 06511",NEW HAVEN,"238210 /
611310",2020-03-06,Phone,Nonformal,1474175.0,N-16-COVID-19: ,"1. There is no running water for workers to use to wash their hands to help prevent transmission of the flu.

2. Workers are exposed to respirable crystalline silica because the appropriate controls are not being used to prevent visible clouds of silica dust to be emitted from work tasks such as dry sweeping, drilling, cutting, and grinding of terra cotta block, brick, and mortar.","2/
100",1,23
01-115-00,C-1551783,"Bloomingdale's Inc. DBA Bloomindales
100 North Water Street, NORWALK, CONNECTICUT, 06854",FAIRFIELD,"452111 /
452111",2020-03-11,Online,Nonformal,,N-16-COVID-19: ,"The employer has not developed a wellness policy, where employees who are sick and/or have flu like or similar symptoms are being directed to report to work, thus potentially exposing other employees to illness.  ","1/
100",1,45
01-115-00,C-1552681,"Home Depot
1055 North Colony Road, WALLINGFORD, CONNECTICUT, 06492",NEW HAVEN,"452910 /
452910",2020-03-13,Phone,Nonformal,,N-16-COVID-19: ,"1. In event of COVID -19 employees are not being offered personal protective equipment (PPE) including but not limited to N95 white filtering faces pieces.

2. Employer is not following the CDC guidelines when an employee is allow to work while showing signs of illness.","2/
30",1,45
01-115-00,C-1552719,"UBS
600 Washington Boulevard, STAMFORD, CONNECTICUT, 06906",FAIRFIELD,"523999 /
523999",2020-03-13,Phone,Nonformal,,N-16-COVID-19: ,"
1. Employees are complaining  there is not adequate ventilation on the 10th floor  and social distancing is not implemented when employee could be potentially exposed to Coronavirus (COVID-19).

2. CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees are working while showing signs and symptoms of Coronavirus (COVID-19) potentially exposing other employees (working)","2/
60",1,52
01-115-00,C-1552896,"Social Security Administration
425 Main Street Floor 3, MIDDLETOWN, CONNECTICUT, 06457",MIDDLESEX,"923130 /
923130",2020-03-13,Online,Nonformal,,N-16-COVID-19: ,"1. The Agency has refused to follow OSHA and CDC guidance for expanding flexible work arrangements such as telework, even though (up until recently) the Agency had a successful telework program.

2. CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees are working while showing signs and symptoms of Coronavirus
(COVID-19) potentially exposing other employees (workers).","2/
10",1,92
01-115-00,C-1553062,"Saks Fifth Avenue Stamford INC DBA Saks Fifth Avenue
205 greenwich avenue, GREENWICH, CONNECTICUT, 06830",FAIRFIELD,"448150 /
448150",2020-03-12,Phone,Nonformal,,N-16-COVID-19: ,"Workers are not allowed to wear gloves when interacting with customers and cleaning staff are not using the proper disinfectant to clean surfaces, possibly exposing workers to COVID-19 flu virus.","1/
15",1,44
01-115-00,C-1553470,"Westmed Medical Group
1281 East Main Street, STAMFORD, CONNECTICUT, 06902",FAIRFIELD,"622110 /
622110",2020-03-16,Online,Nonformal,,N-16-COVID-19: ,CDC guidelines such as but not limited to the Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19) are not being followed and employees are working while exposed at home to a quarantined individual with possible Coronavirus (COVID-19) potentially exposing other employees (workers).,"1/
15",1,62
01-115-00,C-1554070,"Yale New Haven Health System DBA BRIDGEPORT HOSPITAL
267 GRANT STREET, BRIDGEPORT, CONNECTICUT, 06610",FAIRFIELD,"622110 /
622110",2020-03-17,Online,Nonformal,,N-16-COVID-19: ,Personal protective equipment  are restricted and employees are not offered additional personal protective equipment (PPE) including but not limited to N95 white filtering faces pieces where potentially exposed to Coronavirus (COVID-19). Yale New Haven Hospital has created a policy  where  N95 mask are to be sanitized and re-used.,"1/
200",1,62
